"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,097","34.54%","89.56%","1,759","58.89%","10.44%","16,856","36.09%"
"Black","26,563","60.76%","95.78%","1,170","39.17%","4.22%","27,733","59.38%"
"Other","20",".05%","95.24%","1",".03%","4.76%","21",".04%"
"Asian","142",".32%","95.95%","6",".20%","4.05%","148",".32%"
"Unknown","4",".01%","100.00%","0","0%","0%","4",".01%"
"Hispanic","1,870","4.28%","97.45%","49","1.64%","2.55%","1,919","4.11%"
"Native American","19",".04%","90.48%","2",".07%","9.52%","21",".04%"
"Total Reported","43,715","100%","93.6%","2,987","100%","6.4%","46,702","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","43,715","","","2,987","","","46,702",""
