"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,998","32.5%","87.68%","2,248","55.34%","12.32%","18,246","34.25%"
"Black","30,356","61.68%","94.58%","1,739","42.81%","5.42%","32,095","60.24%"
"Other","25","0.05%","86.21%","4","0.1%","13.79%","29","0.05%"
"Asian","159","0.32%","92.98%","12","0.3%","7.02%","171","0.32%"
"Unknown","2","0.01%","100.0%","0","0%","0%","2","0.01%"
"Hispanic","2,640","5.36%","97.96%","55","1.35%","2.04%","2,695","5.06%"
"Native American","36","0.07%","90.0%","4","0.1%","10.0%","40","0.08%"
"Native Hawaiian","2","0.01%","100.0%","0","0%","0%","2","0.01%"
"Total Reported","49,218","100.00%","92.38%","4,062","100.00%","7.62%","53,280","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,218","","","4,062","","","53,280",""
