"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,119","33.90%","89.31%","1,809","58.13%","10.69%","16,928","35.48%"
"Black","27,432","61.51%","95.66%","1,245","40.01%","4.34%","28,677","60.11%"
"Other","4",".01%","66.67%","2",".06%","33.33%","6",".01%"
"Asian","149",".33%","95.51%","7",".22%","4.49%","156",".33%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","1,866","4.18%","97.49%","48","1.54%","2.51%","1,914","4.01%"
"Native American","25",".06%","96.15%","1",".03%","3.85%","26",".05%"
"Total Reported","44,597","100%","93.48%","3,112","100%","6.52%","47,709","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","44,597","","","3,112","","","47,709",""
