"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,841","35.14%","88.88%","1,982","59.54%","11.12%","17,823","36.82%"
"Black","27,104","60.13%","95.46%","1,288","38.69%","4.54%","28,392","58.65%"
"Other","7",".02%","70.00%","3",".09%","30.00%","10",".02%"
"Asian","156",".35%","94.55%","9",".27%","5.45%","165",".34%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","1,945","4.31%","97.64%","47","1.41%","2.36%","1,992","4.12%"
"Native American","22",".05%","100.00%","0","0%","0%","22",".05%"
"Total Reported","45,077","100%","93.12%","3,329","100%","6.88%","48,406","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","45,077","","","3,329","","","48,406",""
