"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,823","34.43%","88.12%","2,403","59.17%","11.88%","20,226","36.23%"
"Black","31,591","61.02%","95.24%","1,579","38.88%","4.76%","33,170","59.41%"
"Other","57",".11%","89.06%","7",".17%","10.94%","64",".11%"
"Asian","179",".35%","95.72%","8",".20%","4.28%","187",".33%"
"Unknown","15",".03%","100.00%","0","0%","0%","15",".03%"
"Hispanic","2,082","4.02%","97.02%","64","1.58%","2.98%","2,146","3.84%"
"Native American","25",".05%","100.00%","0","0%","0%","25",".04%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","51,773","100%","92.73%","4,061","100%","7.27%","55,834","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,773","","","4,061","","","55,834",""
