"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,648","31.87%","89.39%","1,858","52.24%","10.61%","17,506","33.24%"
"Black","31,067","63.27%","95.07%","1,612","45.32%","4.93%","32,679","62.06%"
"Other","48",".10%","92.31%","4",".11%","7.69%","52",".10%"
"Asian","118",".24%","97.52%","3",".08%","2.48%","121",".23%"
"Hispanic","2,194","4.47%","96.69%","75","2.11%","3.31%","2,269","4.31%"
"Native American","27",".05%","87.10%","4",".11%","12.90%","31",".06%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","49,102","100%","93.25%","3,557","100%","6.75%","52,659","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,102","","","3,557","","","52,659",""
