"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,374","34.13%","88.23%","2,317","58.82%","11.77%","19,691","35.91%"
"Black","31,219","61.33%","95.29%","1,542","39.15%","4.71%","32,761","59.74%"
"Other","53",".10%","89.83%","6",".15%","10.17%","59",".11%"
"Asian","173",".34%","94.02%","11",".28%","5.98%","184",".34%"
"Unknown","16",".03%","94.12%","1",".03%","5.88%","17",".03%"
"Hispanic","2,045","4.02%","97.10%","61","1.55%","2.90%","2,106","3.84%"
"Native American","21",".04%","95.45%","1",".03%","4.55%","22",".04%"
"Total Reported","50,901","100%","92.82%","3,939","100%","7.18%","54,840","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,901","","","3,939","","","54,840",""
