"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,450","31.56%","88.68%","1,973","52.97%","11.32%","17,423","33.08%"
"Black","31,197","63.73%","94.88%","1,683","45.18%","5.12%","32,880","62.42%"
"Other","54",".11%","94.74%","3",".08%","5.26%","57",".11%"
"Asian","110",".22%","96.49%","4",".11%","3.51%","114",".22%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,109","4.31%","97.37%","57","1.53%","2.63%","2,166","4.11%"
"Native American","28",".06%","87.50%","4",".11%","12.50%","32",".06%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","48,949","100%","92.93%","3,725","100%","7.07%","52,674","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","48,949","","","3,725","","","52,674",""
