"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,022","34.41%","89.49%","1,765","59.23%","10.51%","16,787","35.99%"
"Black","26,573","60.87%","95.82%","1,160","38.93%","4.18%","27,733","59.46%"
"Other","14",".03%","93.33%","1",".03%","6.67%","15",".03%"
"Asian","143",".33%","95.33%","7",".23%","4.67%","150",".32%"
"Unknown","4",".01%","100.00%","0","0%","0%","4",".01%"
"Hispanic","1,881","4.31%","97.66%","45","1.51%","2.34%","1,926","4.13%"
"Native American","21",".05%","91.30%","2",".07%","8.70%","23",".05%"
"Total Reported","43,658","100%","93.61%","2,980","100%","6.39%","46,638","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","43,658","","","2,980","","","46,638",""
