"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,728","34.41%","88.18%","2,377","58.88%","11.82%","20,105","36.19%"
"Black","31,456","61.06%","95.22%","1,580","39.14%","4.78%","33,036","59.46%"
"Other","56",".11%","88.89%","7",".17%","11.11%","63",".11%"
"Asian","178",".35%","95.70%","8",".20%","4.30%","186",".33%"
"Unknown","14",".03%","100.00%","0","0%","0%","14",".03%"
"Hispanic","2,061","4.00%","96.94%","65","1.61%","3.06%","2,126","3.83%"
"Native American","25",".05%","100.00%","0","0%","0%","25",".04%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","51,519","100%","92.73%","4,037","100%","7.27%","55,556","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,519","","","4,037","","","55,556",""
