"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,701","33.18%","88.69%","2,130","56.80%","11.31%","18,831","34.81%"
"Black","31,415","62.40%","95.29%","1,553","41.41%","4.71%","32,968","60.95%"
"Other","55",".11%","91.67%","5",".13%","8.33%","60",".11%"
"Asian","172",".34%","94.51%","10",".27%","5.49%","182",".34%"
"Unknown","9",".02%","81.82%","2",".05%","18.18%","11",".02%"
"Hispanic","1,964","3.90%","97.57%","49","1.31%","2.43%","2,013","3.72%"
"Native American","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Total Reported","50,341","100%","93.07%","3,750","100%","6.93%","54,091","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,341","","","3,750","","","54,091",""
