"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,588","34.33%","88.19%","2,355","59.02%","11.81%","19,943","36.12%"
"Black","31,357","61.21%","95.26%","1,560","39.10%","4.74%","32,917","59.61%"
"Other","2",".01%","66.67%","1",".03%","33.33%","3",".01%"
"Asian","180",".35%","94.74%","10",".25%","5.26%","190",".34%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","2,071","4.04%","97.00%","64","1.60%","3.00%","2,135","3.87%"
"Native American","28",".05%","100.00%","0","0%","0%","28",".05%"
"Total Reported","51,228","100%","92.77%","3,990","100%","7.23%","55,218","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,228","","","3,990","","","55,218",""
