"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,681","31.60%","89.34%","1,871","51.11%","10.66%","17,552","32.94%"
"Black","31,724","63.94%","94.79%","1,745","47.66%","5.21%","33,469","62.82%"
"Other","50",".10%","100.00%","0","0%","0%","50",".09%"
"Asian","99",".20%","95.19%","5",".14%","4.81%","104",".20%"
"Unknown","3",".01%","100.00%","0","0%","0%","3",".01%"
"Hispanic","2,018","4.07%","98.10%","39","1.07%","1.90%","2,057","3.86%"
"Racially Mixed","11",".02%","100.00%","0","0%","0%","11",".02%"
"Native American","32",".06%","96.97%","1",".03%","3.03%","33",".06%"
"Total Reported","49,618","100%","93.13%","3,661","100%","6.87%","53,279","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,618","","","3,661","","","53,279",""
