"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,329","31.81%","89.17%","1,983","52.99%","10.83%","18,312","33.25%"
"Black","32,453","63.22%","95.13%","1,662","44.41%","4.87%","34,115","61.94%"
"Other","45",".09%","84.91%","8",".21%","15.09%","53",".10%"
"Asian","129",".25%","96.27%","5",".13%","3.73%","134",".24%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","2,349","4.58%","96.79%","78","2.08%","3.21%","2,427","4.41%"
"Native American","26",".05%","83.87%","5",".13%","16.13%","31",".06%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","51,333","100%","93.21%","3,742","100%","6.79%","55,075","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,333","","","3,742","","","55,075",""
