"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,463","33.18%","89.03%","2,029","56.28%","10.97%","18,492","34.75%"
"Black","30,925","62.33%","95.35%","1,507","41.80%","4.65%","32,432","60.94%"
"Other","49",".10%","92.45%","4",".11%","7.55%","53",".10%"
"Asian","163",".33%","93.68%","11",".31%","6.32%","174",".33%"
"Unknown","5",".01%","83.33%","1",".03%","16.67%","6",".01%"
"Hispanic","1,985","4.00%","97.45%","52","1.44%","2.55%","2,037","3.83%"
"Native American","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","49,615","100%","93.23%","3,605","100%","6.77%","53,220","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,615","","","3,605","","","53,220",""
