"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,483","35.10%","88.33%","2,178","59.62%","11.67%","18,661","36.87%"
"Black","28,247","60.15%","95.26%","1,405","38.46%","4.74%","29,652","58.58%"
"Other","11",".02%","68.75%","5",".14%","31.25%","16",".03%"
"Asian","161",".34%","94.71%","9",".25%","5.29%","170",".34%"
"Unknown","3",".01%","75.00%","1",".03%","25.00%","4",".01%"
"Hispanic","2,032","4.33%","97.46%","53","1.45%","2.54%","2,085","4.12%"
"Native American","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Native Hawaiian","1",".01%","50.00%","1",".03%","50.00%","2",".01%"
"Total Reported","46,963","100%","92.78%","3,653","100%","7.22%","50,616","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","46,963","","","3,653","","","50,616",""
