"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,131","33.08%","87.91%","2,219","56.36%","12.09%","18,350","34.82%"
"Black","29,959","61.44%","94.80%","1,644","41.76%","5.20%","31,603","59.97%"
"Other","20",".04%","80.00%","5",".13%","20.00%","25",".05%"
"Asian","164",".34%","94.25%","10",".25%","5.75%","174",".33%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,451","5.03%","97.73%","57","1.45%","2.27%","2,508","4.76%"
"Native American","34",".07%","97.14%","1",".03%","2.86%","35",".07%"
"Native Hawaiian","3",".01%","75.00%","1",".03%","25.00%","4",".01%"
"Total Reported","48,763","100%","92.53%","3,937","100%","7.47%","52,700","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","48,763","","","3,937","","","52,700",""
