"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,016","32.25%","89.41%","1,896","54.31%","10.59%","17,912","33.70%"
"Black","31,215","62.86%","95.38%","1,513","43.34%","4.62%","32,728","61.58%"
"Other","38",".08%","86.36%","6",".17%","13.64%","44",".08%"
"Asian","145",".29%","92.36%","12",".34%","7.64%","157",".30%"
"Unknown","2",".01%","66.67%","1",".03%","33.33%","3",".01%"
"Hispanic","2,214","4.46%","97.32%","61","1.75%","2.68%","2,275","4.28%"
"Native American","25",".05%","92.59%","2",".06%","7.41%","27",".05%"
"Total Reported","49,655","100%","93.43%","3,491","100%","6.57%","53,146","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,655","","","3,491","","","53,146",""
