"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,477","31.53%","89.19%","1,876","50.91%","10.81%","17,353","32.89%"
"Black","31,350","63.87%","94.69%","1,757","47.68%","5.31%","33,107","62.74%"
"Other","46",".09%","100.00%","0","0%","0%","46",".09%"
"Asian","102",".21%","96.23%","4",".11%","3.77%","106",".20%"
"Unknown","3",".01%","100.00%","0","0%","0%","3",".01%"
"Hispanic","2,063","4.20%","97.82%","46","1.25%","2.18%","2,109","4.00%"
"Racially Mixed","11",".02%","100.00%","0","0%","0%","11",".02%"
"Native American","31",".06%","93.94%","2",".05%","6.06%","33",".06%"
"Total Reported","49,083","100%","93.02%","3,685","100%","6.98%","52,768","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,083","","","3,685","","","52,768",""
