"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,481","32.15%","89.25%","1,986","53.97%","10.75%","18,467","33.61%"
"Black","32,259","62.92%","95.27%","1,602","43.53%","4.73%","33,861","61.62%"
"Other","39",".08%","81.25%","9",".24%","18.75%","48",".09%"
"Asian","147",".29%","93.04%","11",".30%","6.96%","158",".29%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","2,312","4.51%","97.14%","68","1.85%","2.86%","2,380","4.33%"
"Native American","29",".06%","87.88%","4",".11%","12.12%","33",".06%"
"Total Reported","51,269","100%","93.3%","3,680","100%","6.7%","54,949","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,269","","","3,680","","","54,949",""
