"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,283","35.01%","89.68%","1,758","58.33%","10.32%","17,041","36.51%"
"Black","26,317","60.28%","95.65%","1,197","39.71%","4.35%","27,514","58.96%"
"Other","15",".03%","93.75%","1",".03%","6.25%","16",".03%"
"Asian","149",".34%","94.90%","8",".27%","5.10%","157",".34%"
"Unknown","6",".01%","100.00%","0","0%","0%","6",".01%"
"Hispanic","1,865","4.27%","97.44%","49","1.63%","2.56%","1,914","4.10%"
"Native American","20",".05%","95.24%","1",".03%","4.76%","21",".04%"
"Total Reported","43,655","100%","93.54%","3,014","100%","6.46%","46,669","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","43,655","","","3,014","","","46,669",""
