"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,781","35.14%","88.95%","1,960","59.27%","11.05%","17,741","36.79%"
"Black","26,993","60.11%","95.45%","1,287","38.92%","4.55%","28,280","58.65%"
"Other","8",".02%","72.73%","3",".09%","27.27%","11",".02%"
"Asian","155",".35%","93.94%","10",".30%","6.06%","165",".34%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","1,949","4.34%","97.65%","47","1.42%","2.35%","1,996","4.14%"
"Native American","21",".05%","100.00%","0","0%","0%","21",".04%"
"Total Reported","44,909","100%","93.14%","3,307","100%","6.86%","48,216","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","44,909","","","3,307","","","48,216",""
