"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,504","35.16%","89.36%","1,846","58.94%","10.64%","17,350","36.74%"
"Black","26,534","60.17%","95.57%","1,229","39.24%","4.43%","27,763","58.79%"
"Other","2",".01%","100.00%","0","0%","0%","2",".01%"
"Asian","155",".35%","94.51%","9",".29%","5.49%","164",".35%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","1,879","4.26%","97.56%","47","1.50%","2.44%","1,926","4.08%"
"Native American","20",".05%","95.24%","1",".03%","4.76%","21",".04%"
"Total Reported","44,095","100%","93.37%","3,132","100%","6.63%","47,227","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","44,095","","","3,132","","","47,227",""
