"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,930","35.23%","88.90%","1,989","59.48%","11.10%","17,919","36.90%"
"Black","27,160","60.06%","95.46%","1,293","38.67%","4.54%","28,453","58.59%"
"Other","10",".02%","76.92%","3",".09%","23.08%","13",".03%"
"Asian","155",".34%","94.51%","9",".27%","5.49%","164",".34%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","1,944","4.30%","97.54%","49","1.47%","2.46%","1,993","4.10%"
"Native American","23",".05%","95.83%","1",".03%","4.17%","24",".05%"
"Total Reported","45,223","100%","93.11%","3,344","100%","6.89%","48,567","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","45,223","","","3,344","","","48,567",""
