"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,264","32.16%","89.36%","2,056","52.81%","10.64%","19,320","33.56%"
"Black","33,789","62.95%","95.11%","1,738","44.64%","4.89%","35,527","61.71%"
"Other","47",".09%","83.93%","9",".23%","16.07%","56",".10%"
"Asian","150",".28%","96.77%","5",".13%","3.23%","155",".27%"
"Unknown","3",".01%","100.00%","0","0%","0%","3",".01%"
"Hispanic","2,396","4.46%","96.81%","79","2.03%","3.19%","2,475","4.30%"
"Native American","28",".05%","84.85%","5",".13%","15.15%","33",".06%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","53,677","100%","93.24%","3,893","100%","6.76%","57,570","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","53,677","","","3,893","","","57,570",""
