"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,418","34.20%","88.30%","2,308","58.68%","11.70%","19,726","35.95%"
"Black","31,191","61.23%","95.28%","1,544","39.26%","4.72%","32,735","59.66%"
"Other","55",".11%","91.67%","5",".13%","8.33%","60",".11%"
"Asian","174",".34%","93.55%","12",".31%","6.45%","186",".34%"
"Unknown","14",".03%","93.33%","1",".03%","6.67%","15",".03%"
"Hispanic","2,062","4.05%","97.08%","62","1.58%","2.92%","2,124","3.87%"
"Native American","22",".04%","95.65%","1",".03%","4.35%","23",".04%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,937","100%","92.83%","3,933","100%","7.17%","54,870","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,937","","","3,933","","","54,870",""
