"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,409","32.94%","88.84%","2,062","56.52%","11.16%","18,471","34.55%"
"Black","31,178","62.58%","95.37%","1,513","41.47%","4.63%","32,691","61.14%"
"Other","48",".10%","88.89%","6",".16%","11.11%","54",".10%"
"Asian","160",".32%","93.02%","12",".33%","6.98%","172",".32%"
"Unknown","7",".01%","87.50%","1",".03%","12.50%","8",".01%"
"Hispanic","1,990","3.99%","97.41%","53","1.45%","2.59%","2,043","3.82%"
"Native American","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","49,819","100%","93.18%","3,648","100%","6.82%","53,467","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,819","","","3,648","","","53,467",""
