"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,145","32.76%","87.75%","2,253","55.48%","12.25%","18,398","34.49%"
"Black","30,358","61.61%","94.61%","1,729","42.58%","5.39%","32,087","60.16%"
"Other","20","0.04%","83.33%","4","0.1%","16.67%","24","0.04%"
"Asian","156","0.32%","93.41%","11","0.27%","6.59%","167","0.31%"
"Unknown","1","0.01%","100.0%","0","0%","0%","1","0.01%"
"Hispanic","2,559","5.19%","97.71%","60","1.48%","2.29%","2,619","4.91%"
"Native American","36","0.07%","90.0%","4","0.1%","10.0%","40","0.07%"
"Native Hawaiian","2","0.01%","100.0%","0","0%","0%","2","0.01%"
"Total Reported","49,277","100.00%","92.39%","4,061","100.00%","7.61%","53,338","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,277","","","4,061","","","53,338",""
