"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,089","35.13%","88.49%","2,092","59.77%","11.51%","18,181","36.88%"
"Black","27,528","60.11%","95.36%","1,340","38.29%","4.64%","28,868","58.56%"
"Other","10",".02%","71.43%","4",".11%","28.57%","14",".03%"
"Asian","154",".34%","93.90%","10",".29%","6.10%","164",".33%"
"Unknown","3",".01%","100.00%","0","0%","0%","3",".01%"
"Hispanic","1,987","4.34%","97.40%","53","1.51%","2.60%","2,040","4.14%"
"Native American","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","45,797","100%","92.9%","3,500","100%","7.1%","49,297","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","45,797","","","3,500","","","49,297",""
