"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,115","35.10%","88.43%","2,108","59.95%","11.57%","18,223","36.87%"
"Black","27,597","60.11%","95.39%","1,334","37.94%","4.61%","28,931","58.53%"
"Other","10",".02%","66.67%","5",".14%","33.33%","15",".03%"
"Asian","156",".34%","93.98%","10",".28%","6.02%","166",".34%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,008","4.37%","97.29%","56","1.59%","2.71%","2,064","4.18%"
"Native American","25",".05%","92.59%","2",".06%","7.41%","27",".05%"
"Native Hawaiian","1",".01%","50.00%","1",".03%","50.00%","2",".01%"
"Total Reported","45,913","100%","92.89%","3,516","100%","7.11%","49,429","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","45,913","","","3,516","","","49,429",""
