"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,497","34.26%","87.98%","2,390","59.35%","12.02%","19,887","36.10%"
"Black","31,258","61.21%","95.27%","1,551","38.52%","4.73%","32,809","59.55%"
"Other","58",".11%","90.63%","6",".15%","9.38%","64",".12%"
"Asian","179",".35%","94.71%","10",".25%","5.29%","189",".34%"
"Unknown","15",".03%","100.00%","0","0%","0%","15",".03%"
"Hispanic","2,037","3.99%","96.72%","69","1.71%","3.28%","2,106","3.82%"
"Native American","24",".05%","96.00%","1",".02%","4.00%","25",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","51,069","100%","92.69%","4,027","100%","7.31%","55,096","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,069","","","4,027","","","55,096",""
