"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,266","33.95%","89.27%","1,834","57.93%","10.73%","17,100","35.52%"
"Black","27,648","61.48%","95.60%","1,272","40.18%","4.40%","28,920","60.08%"
"Other","4",".01%","66.67%","2",".06%","33.33%","6",".01%"
"Asian","151",".34%","94.97%","8",".25%","5.03%","159",".33%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","1,879","4.18%","97.46%","49","1.55%","2.54%","1,928","4.01%"
"Native American","23",".05%","95.83%","1",".03%","4.17%","24",".05%"
"Total Reported","44,972","100%","93.42%","3,166","100%","6.58%","48,138","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","44,972","","","3,166","","","48,138",""
