"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,334","34.13%","88.32%","2,293","58.61%","11.68%","19,627","35.88%"
"Black","31,139","61.31%","95.30%","1,535","39.24%","4.70%","32,674","59.73%"
"Other","53",".10%","89.83%","6",".15%","10.17%","59",".11%"
"Asian","173",".34%","93.51%","12",".31%","6.49%","185",".34%"
"Unknown","14",".03%","93.33%","1",".03%","6.67%","15",".03%"
"Hispanic","2,058","4.05%","96.98%","64","1.64%","3.02%","2,122","3.88%"
"Native American","20",".04%","95.24%","1",".03%","4.76%","21",".04%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,792","100%","92.85%","3,912","100%","7.15%","54,704","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,792","","","3,912","","","54,704",""
