"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,315","32.25%","89.32%","2,071","53.40%","10.68%","19,386","33.67%"
"Black","33,773","62.90%","95.18%","1,709","44.07%","4.82%","35,482","61.63%"
"Other","48",".09%","85.71%","8",".21%","14.29%","56",".10%"
"Asian","145",".27%","94.16%","9",".23%","5.84%","154",".27%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,387","4.45%","96.88%","77","1.99%","3.13%","2,464","4.28%"
"Native American","27",".05%","90.00%","3",".08%","10.00%","30",".05%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","53,696","100%","93.26%","3,878","100%","6.74%","57,574","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","53,696","","","3,878","","","57,574",""
