"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,519","34.30%","88.14%","2,358","59.29%","11.86%","19,877","36.11%"
"Black","31,241","61.17%","95.32%","1,535","38.60%","4.68%","32,776","59.54%"
"Other","57",".11%","89.06%","7",".18%","10.94%","64",".12%"
"Asian","176",".34%","94.62%","10",".25%","5.38%","186",".34%"
"Unknown","15",".03%","100.00%","0","0%","0%","15",".03%"
"Hispanic","2,040","3.99%","96.87%","66","1.66%","3.13%","2,106","3.83%"
"Native American","21",".04%","95.45%","1",".03%","4.55%","22",".04%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","51,070","100%","92.78%","3,977","100%","7.22%","55,047","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,070","","","3,977","","","55,047",""
