"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,045","32.31%","89.42%","1,899","54.63%","10.58%","17,944","33.77%"
"Black","31,194","62.82%","95.40%","1,503","43.24%","4.60%","32,697","61.54%"
"Other","39",".08%","84.78%","7",".20%","15.22%","46",".09%"
"Asian","160",".32%","94.12%","10",".29%","5.88%","170",".32%"
"Unknown","4",".01%","80.00%","1",".03%","20.00%","5",".01%"
"Hispanic","2,188","4.41%","97.55%","55","1.58%","2.45%","2,243","4.22%"
"Native American","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Total Reported","49,655","100%","93.46%","3,476","100%","6.54%","53,131","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,655","","","3,476","","","53,131",""
