"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,223","32.60%","89.31%","1,942","54.80%","10.69%","18,165","34.08%"
"Black","31,207","62.71%","95.35%","1,521","42.92%","4.65%","32,728","61.39%"
"Other","44",".09%","88.00%","6",".17%","12.00%","50",".09%"
"Asian","163",".33%","91.57%","15",".42%","8.43%","178",".33%"
"Unknown","3",".01%","100.00%","0","0%","0%","3",".01%"
"Hispanic","2,098","4.22%","97.26%","59","1.66%","2.74%","2,157","4.05%"
"Native American","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","49,764","100%","93.35%","3,544","100%","6.65%","53,308","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,764","","","3,544","","","53,308",""
