"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,584","31.60%","88.61%","2,004","53.17%","11.39%","17,588","33.13%"
"Black","31,404","63.67%","94.89%","1,691","44.87%","5.11%","33,095","62.34%"
"Other","55",".11%","94.83%","3",".08%","5.17%","58",".11%"
"Asian","109",".22%","96.46%","4",".11%","3.54%","113",".21%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,138","4.33%","97.18%","62","1.64%","2.82%","2,200","4.14%"
"Native American","31",".06%","88.57%","4",".11%","11.43%","35",".07%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","49,322","100%","92.9%","3,769","100%","7.1%","53,091","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,322","","","3,769","","","53,091",""
