"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,011","32.3%","87.91%","2,202","54.94%","12.09%","18,213","34.0%"
"Black","30,620","61.78%","94.66%","1,727","43.09%","5.34%","32,347","60.38%"
"Other","26","0.05%","86.67%","4","0.1%","13.33%","30","0.06%"
"Asian","167","0.34%","93.3%","12","0.3%","6.7%","179","0.33%"
"Unknown","2","0.01%","100.0%","0","0%","0%","2","0.01%"
"Hispanic","2,698","5.44%","97.86%","59","1.47%","2.14%","2,757","5.15%"
"Native American","36","0.07%","90.0%","4","0.1%","10.0%","40","0.07%"
"Native Hawaiian","3","0.01%","100.0%","0","0%","0%","3","0.01%"
"Total Reported","49,563","100.00%","92.52%","4,008","100.00%","7.48%","53,571","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,563","","","4,008","","","53,571",""
