"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,427","32.16%","89.27%","1,974","54.31%","10.73%","18,401","33.63%"
"Black","32,114","62.87%","95.34%","1,570","43.19%","4.66%","33,684","61.56%"
"Other","38",".07%","80.85%","9",".25%","19.15%","47",".09%"
"Asian","147",".29%","92.45%","12",".33%","7.55%","159",".29%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","2,325","4.55%","97.28%","65","1.79%","2.72%","2,390","4.37%"
"Native American","26",".05%","83.87%","5",".14%","16.13%","31",".06%"
"Total Reported","51,079","100%","93.36%","3,635","100%","6.64%","54,714","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,079","","","3,635","","","54,714",""
