"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,178","34.69%","89.48%","1,785","59.01%","10.52%","16,963","36.26%"
"Black","26,490","60.54%","95.73%","1,181","39.04%","4.27%","27,671","59.15%"
"Other","20",".05%","95.24%","1",".03%","4.76%","21",".04%"
"Asian","148",".34%","95.48%","7",".23%","4.52%","155",".33%"
"Unknown","5",".01%","100.00%","0","0%","0%","5",".01%"
"Hispanic","1,894","4.33%","97.48%","49","1.62%","2.52%","1,943","4.15%"
"Native American","20",".05%","90.91%","2",".07%","9.09%","22",".05%"
"Total Reported","43,755","100%","93.53%","3,025","100%","6.47%","46,780","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","43,755","","","3,025","","","46,780",""
