"","Male","","","Female","","","Total",""
"Race Group","Count","Col %","","Row %  Count","","Col % Row %","Total","Col %"
"White","16,465","36.54%","92.64%","1,308","48.68%","7.36%","17,773","37.22%"
"Black
1 2 3 6","28,506","63.26%","95.40%","1,375","51.17%","4.60%","29,881","62.58%"
"Indian","50",".11%","96.15%","2",".07%","3.85%","52",".11%"
"Asian","42",".09%","95.45%","2",".07%","4.55%","44",".09%"
"Total Reported","45,063","100%","94.37%","2,687","100%","5.63%","47,750","100%"
