"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,507","34.24%","88.10%","2,364","59.35%","11.90%","19,871","36.06%"
"Black","31,290","61.20%","95.31%","1,538","38.61%","4.69%","32,828","59.57%"
"Other","56",".11%","88.89%","7",".18%","11.11%","63",".11%"
"Asian","177",".35%","94.65%","10",".25%","5.35%","187",".34%"
"Unknown","15",".03%","100.00%","0","0%","0%","15",".03%"
"Hispanic","2,058","4.03%","97.03%","63","1.58%","2.97%","2,121","3.85%"
"Native American","21",".04%","95.45%","1",".03%","4.55%","22",".04%"
"Total Reported","51,124","100%","92.77%","3,983","100%","7.23%","55,107","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,124","","","3,983","","","55,107",""
