"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,145","35.10%","88.49%","2,101","59.74%","11.51%","18,246","36.85%"
"Black","27,647","60.11%","95.35%","1,347","38.30%","4.65%","28,994","58.56%"
"Other","10",".02%","66.67%","5",".14%","33.33%","15",".03%"
"Asian","155",".34%","93.94%","10",".28%","6.06%","165",".33%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","2,010","4.37%","97.43%","53","1.51%","2.57%","2,063","4.17%"
"Native American","26",".06%","96.30%","1",".03%","3.70%","27",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","45,996","100%","92.9%","3,517","100%","7.1%","49,513","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","45,996","","","3,517","","","49,513",""
