"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,246","31.39%","88.87%","1,909","51.30%","11.13%","17,155","32.81%"
"Black","31,115","64.06%","94.67%","1,753","47.11%","5.33%","32,868","62.86%"
"Other","48",".10%","97.96%","1",".03%","2.04%","49",".09%"
"Asian","102",".21%","96.23%","4",".11%","3.77%","106",".20%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","2,015","4.15%","97.58%","50","1.34%","2.42%","2,065","3.95%"
"Racially Mixed","11",".02%","84.62%","2",".05%","15.38%","13",".02%"
"Native American","31",".06%","93.94%","2",".05%","6.06%","33",".06%"
"Total Reported","48,570","100%","92.88%","3,721","100%","7.12%","52,291","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","48,570","","","3,721","","","52,291",""
