"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,257","33.83%","88.61%","2,218","57.73%","11.39%","19,475","35.51%"
"Black","31,503","61.76%","95.30%","1,552","40.40%","4.70%","33,055","60.27%"
"Other","60",".12%","89.55%","7",".18%","10.45%","67",".12%"
"Asian","184",".36%","94.85%","10",".26%","5.15%","194",".35%"
"Unknown","9",".02%","81.82%","2",".05%","18.18%","11",".02%"
"Hispanic","1,968","3.86%","97.43%","52","1.35%","2.57%","2,020","3.68%"
"Native American","22",".04%","95.65%","1",".03%","4.35%","23",".04%"
"Native Hawaiian","2",".01%","100.00%","0","0%","0%","2",".01%"
"Total Reported","51,005","100%","93%","3,842","100%","7%","54,847","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,005","","","3,842","","","54,847",""
