"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,097","34.25%","88.71%","2,176","58.38%","11.29%","19,273","35.92%"
"Black","30,577","61.25%","95.37%","1,484","39.82%","4.63%","32,061","59.76%"
"Other","3",".01%","75.00%","1",".03%","25.00%","4",".01%"
"Asian","175",".35%","95.11%","9",".24%","4.89%","184",".34%"
"Unknown","1",".01%","50.00%","1",".03%","50.00%","2",".01%"
"Hispanic","2,043","4.09%","97.33%","56","1.50%","2.67%","2,099","3.91%"
"Native American","25",".05%","100.00%","0","0%","0%","25",".05%"
"Total Reported","49,921","100%","93.05%","3,727","100%","6.95%","53,648","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,921","","","3,727","","","53,648",""
