"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,477","32.87%","89.16%","2,004","55.90%","10.84%","18,481","34.41%"
"Black","31,358","62.56%","95.43%","1,503","41.92%","4.57%","32,861","61.19%"
"Other","46",".09%","86.79%","7",".20%","13.21%","53",".10%"
"Asian","163",".33%","93.14%","12",".33%","6.86%","175",".33%"
"Unknown","9",".02%","90.00%","1",".03%","10.00%","10",".02%"
"Hispanic","2,041","4.07%","97.28%","57","1.59%","2.72%","2,098","3.91%"
"Native American","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,121","100%","93.32%","3,585","100%","6.68%","53,706","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,121","","","3,585","","","53,706",""
