"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,971","32.27%","87.9%","2,199","54.89%","12.1%","18,170","33.96%"
"Black","30,569","61.76%","94.64%","1,730","43.19%","5.36%","32,299","60.37%"
"Other","26","0.05%","86.67%","4","0.1%","13.33%","30","0.06%"
"Asian","167","0.34%","93.82%","11","0.27%","6.18%","178","0.33%"
"Unknown","4","0.01%","100.0%","0","0%","0%","4","0.01%"
"Hispanic","2,718","5.49%","97.91%","58","1.45%","2.09%","2,776","5.19%"
"Native American","36","0.07%","90.0%","4","0.1%","10.0%","40","0.07%"
"Native Hawaiian","3","0.01%","100.0%","0","0%","0%","3","0.01%"
"Total Reported","49,494","100.00%","92.51%","4,006","100.00%","7.49%","53,500","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,494","","","4,006","","","53,500",""
