"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,764","33.22%","88.62%","2,153","57.43%","11.38%","18,917","34.89%"
"Black","31,481","62.38%","95.36%","1,531","40.84%","4.64%","33,012","60.89%"
"Other","58",".11%","92.06%","5",".13%","7.94%","63",".12%"
"Asian","177",".35%","94.65%","10",".27%","5.35%","187",".34%"
"Unknown","11",".02%","91.67%","1",".03%","8.33%","12",".02%"
"Hispanic","1,952","3.87%","97.60%","48","1.28%","2.40%","2,000","3.69%"
"Native American","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"Total Reported","50,469","100%","93.09%","3,749","100%","6.91%","54,218","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,469","","","3,749","","","54,218",""
