"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,263","31.36%","88.76%","1,932","51.71%","11.24%","17,195","32.81%"
"Black","31,146","64.00%","94.70%","1,742","46.63%","5.30%","32,888","62.76%"
"Other","47",".10%","97.92%","1",".03%","2.08%","48",".09%"
"Asian","107",".22%","96.40%","4",".11%","3.60%","111",".21%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","2,061","4.24%","97.54%","52","1.39%","2.46%","2,113","4.03%"
"Racially Mixed","8",".02%","72.73%","3",".08%","27.27%","11",".02%"
"Native American","31",".06%","93.94%","2",".05%","6.06%","33",".06%"
"Total Reported","48,665","100%","92.87%","3,736","100%","7.13%","52,401","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","48,665","","","3,736","","","52,401",""
