"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,500","33.10%","88.96%","2,048","56.50%","11.04%","18,548","34.69%"
"Black","31,112","62.42%","95.39%","1,504","41.49%","4.61%","32,616","61.00%"
"Other","51",".10%","89.47%","6",".17%","10.53%","57",".11%"
"Asian","161",".32%","93.06%","12",".33%","6.94%","173",".32%"
"Unknown","6",".01%","85.71%","1",".03%","14.29%","7",".01%"
"Hispanic","1,990","3.99%","97.41%","53","1.46%","2.59%","2,043","3.82%"
"Native American","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","49,846","100%","93.22%","3,625","100%","6.78%","53,471","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,846","","","3,625","","","53,471",""
