"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","14,708","34.00%","89.39%","1,745","59.33%","10.61%","16,453","35.61%"
"Black","26,511","61.28%","95.87%","1,142","38.83%","4.13%","27,653","59.85%"
"Other","12",".03%","85.71%","2",".07%","14.29%","14",".03%"
"Asian","138",".32%","95.83%","6",".20%","4.17%","144",".31%"
"Unknown","4",".01%","100.00%","0","0%","0%","4",".01%"
"Hispanic","1,863","4.31%","97.69%","44","1.50%","2.31%","1,907","4.13%"
"Native American","24",".06%","92.31%","2",".07%","7.69%","26",".06%"
"Total Reported","43,260","100%","93.63%","2,941","100%","6.37%","46,201","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","43,260","","","2,941","","","46,201",""
