"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,012","32.24%","89.25%","1,929","54.57%","10.75%","17,941","33.73%"
"Black","31,209","62.84%","95.32%","1,533","43.37%","4.68%","32,742","61.55%"
"Other","42",".08%","85.71%","7",".20%","14.29%","49",".09%"
"Asian","161",".32%","93.60%","11",".31%","6.40%","172",".32%"
"Unknown","6",".01%","100.00%","0","0%","0%","6",".01%"
"Hispanic","2,207","4.44%","97.61%","54","1.53%","2.39%","2,261","4.25%"
"Native American","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Total Reported","49,662","100%","93.35%","3,535","100%","6.65%","53,197","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,662","","","3,535","","","53,197",""
