"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,001","32.31%","89.32%","1,913","54.77%","10.68%","17,914","33.79%"
"Black","31,112","62.82%","95.39%","1,503","43.03%","4.61%","32,615","61.51%"
"Other","37",".07%","86.05%","6",".17%","13.95%","43",".08%"
"Asian","146",".29%","92.99%","11",".31%","7.01%","157",".30%"
"Unknown","2",".01%","66.67%","1",".03%","33.33%","3",".01%"
"Hispanic","2,205","4.45%","97.48%","57","1.63%","2.52%","2,262","4.27%"
"Native American","24",".05%","92.31%","2",".06%","7.69%","26",".05%"
"Total Reported","49,527","100%","93.41%","3,493","100%","6.59%","53,020","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,527","","","3,493","","","53,020",""
