"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,929","33.41%","88.48%","2,205","57.84%","11.52%","19,134","35.12%"
"Black","31,517","62.19%","95.34%","1,540","40.40%","4.66%","33,057","60.67%"
"Other","57",".11%","91.94%","5",".13%","8.06%","62",".11%"
"Asian","180",".36%","93.75%","12",".31%","6.25%","192",".35%"
"Unknown","9",".02%","90.00%","1",".03%","10.00%","10",".02%"
"Hispanic","1,959","3.87%","97.66%","47","1.23%","2.34%","2,006","3.68%"
"Native American","26",".05%","92.86%","2",".05%","7.14%","28",".05%"
"Total Reported","50,677","100%","93%","3,812","100%","7%","54,489","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,677","","","3,812","","","54,489",""
