"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,458","32.28%","89.33%","2,086","53.21%","10.67%","19,544","33.70%"
"Black","33,930","62.74%","95.15%","1,728","44.08%","4.85%","35,658","61.48%"
"Other","49",".09%","84.48%","9",".23%","15.52%","58",".10%"
"Asian","154",".28%","94.48%","9",".23%","5.52%","163",".28%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,463","4.55%","96.78%","82","2.09%","3.22%","2,545","4.39%"
"Native American","27",".05%","84.38%","5",".13%","15.63%","32",".06%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","54,082","100%","93.24%","3,920","100%","6.76%","58,002","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","54,082","","","3,920","","","58,002",""
