"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,724","33.41%","88.60%","2,152","57.39%","11.40%","18,876","35.08%"
"Black","31,158","62.24%","95.33%","1,526","40.69%","4.67%","32,684","60.74%"
"Other","46",".09%","93.88%","3",".08%","6.12%","49",".09%"
"Asian","161",".32%","94.15%","10",".27%","5.85%","171",".32%"
"Unknown","9",".02%","90.00%","1",".03%","10.00%","10",".02%"
"Hispanic","1,943","3.88%","97.15%","57","1.52%","2.85%","2,000","3.72%"
"Native American","21",".04%","95.45%","1",".03%","4.55%","22",".04%"
"Total Reported","50,062","100%","93.03%","3,750","100%","6.97%","53,812","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,062","","","3,750","","","53,812",""
