"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,225","32.33%","89.44%","1,916","53.96%","10.56%","18,141","33.76%"
"Black","31,552","62.87%","95.33%","1,545","43.51%","4.67%","33,097","61.59%"
"Other","40",".08%","81.63%","9",".25%","18.37%","49",".09%"
"Asian","141",".28%","92.16%","12",".34%","7.84%","153",".28%"
"Unknown","2",".01%","66.67%","1",".03%","33.33%","3",".01%"
"Hispanic","2,203","4.39%","97.18%","64","1.80%","2.82%","2,267","4.22%"
"Native American","23",".05%","85.19%","4",".11%","14.81%","27",".05%"
"Total Reported","50,186","100%","93.39%","3,551","100%","6.61%","53,737","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,186","","","3,551","","","53,737",""
