"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,357","32.28%","89.23%","2,094","53.51%","10.77%","19,451","33.72%"
"Black","33,793","62.84%","95.17%","1,716","43.85%","4.83%","35,509","61.55%"
"Other","51",".09%","86.44%","8",".20%","13.56%","59",".10%"
"Asian","148",".28%","93.67%","10",".26%","6.33%","158",".27%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,396","4.46%","96.73%","81","2.07%","3.27%","2,477","4.29%"
"Native American","29",".05%","90.63%","3",".08%","9.38%","32",".06%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","53,775","100%","93.22%","3,913","100%","6.78%","57,688","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","53,775","","","3,913","","","57,688",""
