"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"14","15","0.03%","88.24%","2","0.06%","11.76%","17","0.03%"
"15","52","0.10%","98.11%","1","0.03%","1.89%","53","0.10%"
"16","152","0.31%","96.82%","5","0.14%","3.18%","157","0.30%"
"17","677","1.37%","95.89%","29","0.80%","4.11%","706","1.33%"
"18","1,225","2.47%","97.22%","35","0.97%","2.78%","1,260","2.37%"
"19","1,891","3.81%","96.92%","60","1.66%","3.08%","1,951","3.67%"
"20","2,148","4.33%","95.34%","105","2.91%","4.66%","2,253","4.24%"
"21","2,229","4.50%","95.54%","104","2.89%","4.46%","2,333","4.39%"
"22","2,268","4.57%","95.33%","111","3.08%","4.67%","2,379","4.47%"
"23","2,084","4.20%","93.87%","136","3.77%","6.13%","2,220","4.17%"
"24","2,058","4.15%","92.62%","164","4.55%","7.38%","2,222","4.18%"
"25","1,885","3.80%","93.50%","131","3.63%","6.50%","2,016","3.79%"
"26","1,845","3.72%","93.56%","127","3.52%","6.44%","1,972","3.71%"
"27","1,796","3.62%","93.64%","122","3.39%","6.36%","1,918","3.61%"
"28","1,699","3.43%","93.04%","127","3.52%","6.96%","1,826","3.43%"
"29","1,697","3.42%","93.09%","126","3.50%","6.91%","1,823","3.43%"
"30","1,686","3.40%","93.56%","116","3.22%","6.44%","1,802","3.39%"
"31","1,526","3.08%","93.05%","114","3.16%","6.95%","1,640","3.08%"
"32","1,454","2.93%","91.50%","135","3.75%","8.50%","1,589","2.99%"
"33","1,456","2.94%","91.00%","144","4.00%","9.00%","1,600","3.01%"
"34","1,387","2.80%","91.37%","131","3.63%","8.63%","1,518","2.85%"
"35","1,332","2.69%","92.18%","113","3.14%","7.82%","1,445","2.72%"
"36","1,291","2.60%","92.02%","112","3.11%","7.98%","1,403","2.64%"
"37","1,206","2.43%","91.92%","106","2.94%","8.08%","1,312","2.47%"
"38","1,083","2.18%","92.41%","89","2.47%","7.59%","1,172","2.20%"
"39","989","1.99%","91.40%","93","2.58%","8.60%","1,082","2.03%"
"40","984","1.98%","92.22%","83","2.30%","7.78%","1,067","2.01%"
"41","947","1.91%","92.93%","72","2.00%","7.07%","1,019","1.92%"
"42","884","1.78%","92.08%","76","2.11%","7.92%","960","1.80%"
"43","886","1.79%","92.00%","77","2.14%","8.00%","963","1.81%"
"44","830","1.67%","90.51%","87","2.41%","9.49%","917","1.72%"
"45","764","1.54%","90.84%","77","2.14%","9.16%","841","1.58%"
"46","703","1.42%","90.01%","78","2.16%","9.99%","781","1.47%"
"47","673","1.36%","91.81%","60","1.66%","8.19%","733","1.38%"
"48","683","1.38%","92.05%","59","1.64%","7.95%","742","1.39%"
"49","635","1.28%","92.16%","54","1.50%","7.84%","689","1.30%"
"50","548","1.11%","92.41%","45","1.25%","7.59%","593","1.11%"
"51","489","0.99%","91.57%","45","1.25%","8.43%","534","1.00%"
"52","463","0.93%","90.25%","50","1.39%","9.75%","513","0.96%"
"53","447","0.90%","89.40%","53","1.47%","10.60%","500","0.94%"
"54","402","0.81%","92.41%","33","0.92%","7.59%","435","0.82%"
"55","345","0.70%","95.83%","15","0.42%","4.17%","360","0.68%"
"56","300","0.61%","93.75%","20","0.55%","6.25%","320","0.60%"
"57","236","0.48%","93.28%","17","0.47%","6.72%","253","0.48%"
"58","208","0.42%","97.20%","6","0.17%","2.80%","214","0.40%"
"59","182","0.37%","91.00%","18","0.50%","9.00%","200","0.38%"
"60","150","0.30%","93.75%","10","0.28%","6.25%","160","0.30%"
"61","113","0.23%","96.58%","4","0.11%","3.42%","117","0.22%"
"62","118","0.24%","95.93%","5","0.14%","4.07%","123","0.23%"
"63","77","0.16%","96.25%","3","0.08%","3.75%","80","0.15%"
"64","78","0.16%","92.86%","6","0.17%","7.14%","84","0.16%"
"65","60","0.12%","92.31%","5","0.14%","7.69%","65","0.12%"
"66","40","0.08%","97.56%","1","0.03%","2.44%","41","0.08%"
"67","39","0.08%","97.50%","1","0.03%","2.50%","40","0.08%"
"68","34","0.07%","97.14%","1","0.03%","2.86%","35","0.07%"
"69","30","0.06%","100.00%","","","","30","0.06%"
"70","20","0.04%","95.24%","1","0.03%","4.76%","21","0.04%"
"71","13","0.03%","92.86%","1","0.03%","7.14%","14","0.03%"
"72","17","0.03%","94.44%","1","0.03%","5.56%","18","0.03%"
"73","10","0.02%","100.00%","","","","10","0.02%"
"74","7","0.01%","77.78%","2","0.06%","22.22%","9","0.02%"
"75","9","0.02%","100.00%","","","","9","0.02%"
"76","8","0.02%","100.00%","","","","8","0.02%"
"77","7","0.01%","100.00%","","","","7","0.01%"
"78","2","0.01%","100.00%","","","","2","0.01%"
"79","3","0.01%","100.00%","","","","3","0.01%"
"80","2","0.01%","100.00%","","","","2","0.01%"
"81","2","0.01%","100.00%","","","","2","0.01%"
"82","4","0.01%","100.00%","","","","4","0.01%"
"83","1","0.01%","100.00%","","","","1","0.01%"
"84","2","0.01%","100.00%","","","","2","0.01%"
"Total Reported","49,586","100%","93.22%","3,604","100%","6.78%","53,190","100%"
"Not Reported","29",,,"1",,,"30",
"Grand Total","49,615",,,"3,605",,,"53,220",
