"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"13","1","0.01%","100.00%","","","","1","0.01%"
"14","4","0.01%","100.00%","","","","4","0.01%"
"15","25","0.05%","100.00%","","","","25","0.05%"
"16","90","0.20%","96.77%","3","0.09%","3.23%","93","0.19%"
"17","436","0.95%","93.97%","28","0.80%","6.03%","464","0.94%"
"18","1,045","2.28%","96.76%","35","1.01%","3.24%","1,080","2.19%"
"19","1,465","3.19%","96.70%","50","1.44%","3.30%","1,515","3.07%"
"20","1,651","3.60%","95.65%","75","2.15%","4.35%","1,726","3.50%"
"21","1,719","3.75%","95.29%","85","2.44%","4.71%","1,804","3.66%"
"22","1,783","3.89%","94.79%","98","2.82%","5.21%","1,881","3.81%"
"23","1,747","3.81%","94.74%","97","2.79%","5.26%","1,844","3.74%"
"24","1,662","3.62%","93.37%","118","3.39%","6.63%","1,780","3.61%"
"25","1,595","3.48%","93.22%","116","3.33%","6.78%","1,711","3.47%"
"26","1,631","3.56%","93.52%","113","3.25%","6.48%","1,744","3.53%"
"27","1,617","3.53%","94.29%","98","2.82%","5.71%","1,715","3.48%"
"28","1,552","3.38%","92.71%","122","3.50%","7.29%","1,674","3.39%"
"29","1,567","3.42%","93.05%","117","3.36%","6.95%","1,684","3.41%"
"30","1,548","3.38%","91.65%","141","4.05%","8.35%","1,689","3.42%"
"31","1,511","3.30%","92.08%","130","3.73%","7.92%","1,641","3.33%"
"32","1,464","3.19%","91.21%","141","4.05%","8.79%","1,605","3.25%"
"33","1,428","3.11%","91.83%","127","3.65%","8.17%","1,555","3.15%"
"34","1,349","2.94%","89.75%","154","4.42%","10.25%","1,503","3.05%"
"35","1,285","2.80%","92.38%","106","3.05%","7.62%","1,391","2.82%"
"36","1,280","2.79%","91.62%","117","3.36%","8.38%","1,397","2.83%"
"37","1,222","2.66%","91.40%","115","3.30%","8.60%","1,337","2.71%"
"38","1,109","2.42%","91.05%","109","3.13%","8.95%","1,218","2.47%"
"39","1,086","2.37%","92.03%","94","2.70%","7.97%","1,180","2.39%"
"40","1,073","2.34%","90.09%","118","3.39%","9.91%","1,191","2.41%"
"41","1,076","2.35%","92.12%","92","2.64%","7.88%","1,168","2.37%"
"42","926","2.02%","92.32%","77","2.21%","7.68%","1,003","2.03%"
"43","876","1.91%","91.92%","77","2.21%","8.08%","953","1.93%"
"44","775","1.69%","91.39%","73","2.10%","8.61%","848","1.72%"
"45","744","1.62%","90.62%","77","2.21%","9.38%","821","1.66%"
"46","687","1.50%","92.71%","54","1.55%","7.29%","741","1.50%"
"47","593","1.29%","91.65%","54","1.55%","8.35%","647","1.31%"
"48","596","1.30%","90.99%","59","1.69%","9.01%","655","1.33%"
"49","525","1.14%","90.99%","52","1.49%","9.01%","577","1.17%"
"50","536","1.17%","92.25%","45","1.29%","7.75%","581","1.18%"
"51","464","1.01%","93.55%","32","0.92%","6.45%","496","1.01%"
"52","468","1.02%","91.76%","42","1.21%","8.24%","510","1.03%"
"53","452","0.99%","92.62%","36","1.03%","7.38%","488","0.99%"
"54","350","0.76%","91.86%","31","0.89%","8.14%","381","0.77%"
"55","356","0.78%","94.43%","21","0.60%","5.57%","377","0.76%"
"56","315","0.69%","93.75%","21","0.60%","6.25%","336","0.68%"
"57","324","0.71%","94.19%","20","0.57%","5.81%","344","0.70%"
"58","280","0.61%","93.96%","18","0.52%","6.04%","298","0.60%"
"59","249","0.54%","92.91%","19","0.55%","7.09%","268","0.54%"
"60","210","0.46%","92.51%","17","0.49%","7.49%","227","0.46%"
"61","184","0.40%","92.46%","15","0.43%","7.54%","199","0.40%"
"62","166","0.36%","95.40%","8","0.23%","4.60%","174","0.35%"
"63","128","0.28%","93.43%","9","0.26%","6.57%","137","0.28%"
"64","92","0.20%","93.88%","6","0.17%","6.12%","98","0.20%"
"65","111","0.24%","96.52%","4","0.11%","3.48%","115","0.23%"
"66","74","0.16%","94.87%","4","0.11%","5.13%","78","0.16%"
"67","64","0.14%","94.12%","4","0.11%","5.88%","68","0.14%"
"68","60","0.13%","96.77%","2","0.06%","3.23%","62","0.13%"
"69","42","0.09%","97.67%","1","0.03%","2.33%","43","0.09%"
"70","35","0.08%","100.00%","","","","35","0.07%"
"71","29","0.06%","96.67%","1","0.03%","3.33%","30","0.06%"
"72","20","0.04%","95.24%","1","0.03%","4.76%","21","0.04%"
"73","18","0.04%","100.00%","","","","18","0.04%"
"74","16","0.03%","94.12%","1","0.03%","5.88%","17","0.03%"
"75","16","0.03%","94.12%","1","0.03%","5.88%","17","0.03%"
"76","8","0.02%","100.00%","","","","8","0.02%"
"77","7","0.02%","100.00%","","","","7","0.01%"
"78","9","0.02%","100.00%","","","","9","0.02%"
"79","3","0.01%","100.00%","","","","3","0.01%"
"80","9","0.02%","100.00%","","","","9","0.02%"
"81","10","0.02%","100.00%","","","","10","0.02%"
"82","3","0.01%","100.00%","","","","3","0.01%"
"83","2","0.01%","100.00%","","","","2","0.01%"
"86","1","0.01%","100.00%","","","","1","0.01%"
"87","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","45,855","100%","92.94%","3,481","100%","7.06%","49,336","100%"
"Not Reported","1",,,"0",,,"1",
"Grand Total","45,856",,,"3,481",,,"49,337",
