"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Irwin","61",".13%","95.31%","3",".09%","4.69%","64",".12%"
"Jackson","219",".46%","93.19%","16",".47%","6.81%","235",".46%"
"Jasper","66",".14%","95.65%","3",".09%","4.35%","69",".13%"
"Jeff Davis","65",".14%","95.59%","3",".09%","4.41%","68",".13%"
"Jefferson","105",".22%","99.06%","1",".03%",".94%","106",".21%"
"Jenkins","74",".15%","93.67%","5",".15%","6.33%","79",".15%"
"Johnson","65",".14%","98.48%","1",".03%","1.52%","66",".13%"
"Jones","134",".28%","93.06%","10",".29%","6.94%","144",".28%"
"Lamar","78",".16%","93.98%","5",".15%","6.02%","83",".16%"
"Lanier","46",".10%","92.00%","4",".12%","8.00%","50",".10%"
"Laurens","285",".59%","92.53%","23",".67%","7.47%","308",".60%"
"Lee","63",".13%","96.92%","2",".06%","3.08%","65",".13%"
"Liberty","242",".50%","95.65%","11",".32%","4.35%","253",".49%"
"Lincoln","45",".09%","100.00%","","","","45",".09%"
"Long","86",".18%","94.51%","5",".15%","5.49%","91",".18%"
"Lowndes","567","1.18%","94.82%","31",".91%","5.18%","598","1.16%"
"Lumpkin","92",".19%","91.09%","9",".26%","8.91%","101",".20%"
"Macon","75",".16%","94.94%","4",".12%","5.06%","79",".15%"
"Madison","149",".31%","93.71%","10",".29%","6.29%","159",".31%"
"Marion","41",".09%","93.18%","3",".09%","6.82%","44",".09%"
"Mcduffie","219",".46%","93.99%","14",".41%","6.01%","233",".45%"
"Mcintosh","71",".15%","97.26%","2",".06%","2.74%","73",".14%"
"Meriwether","195",".41%","93.30%","14",".41%","6.70%","209",".41%"
"Miller","32",".07%","96.97%","1",".03%","3.03%","33",".06%"
"Mitchell","200",".42%","93.02%","15",".44%","6.98%","215",".42%"
"Monroe","174",".36%","91.58%","16",".47%","8.42%","190",".37%"
"Montgomery","45",".09%","95.74%","2",".06%","4.26%","47",".09%"
"Morgan","88",".18%","91.67%","8",".23%","8.33%","96",".19%"
"Murray","221",".46%","92.08%","19",".55%","7.92%","240",".47%"
"Muscogee","1,707","3.55%","93.53%","118","3.45%","6.47%","1,825","3.54%"
"Newton","505","1.05%","92.15%","43","1.26%","7.85%","548","1.06%"
"Oconee","69",".14%","97.18%","2",".06%","2.82%","71",".14%"
"Oglethorpe","60",".12%","92.31%","5",".15%","7.69%","65",".13%"
"Paulding","190",".39%","94.06%","12",".35%","5.94%","202",".39%"
"Peach","90",".19%","97.83%","2",".06%","2.17%","92",".18%"
"Pickens","83",".17%","95.40%","4",".12%","4.60%","87",".17%"
"Pierce","52",".11%","96.30%","2",".06%","3.70%","54",".10%"
"Pike","52",".11%","92.86%","4",".12%","7.14%","56",".11%"
