"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Polk County","151",".31%","93.21%","11",".31%","6.79%","162",".31%"
"Pulaski County","75",".15%","93.75%","5",".14%","6.25%","80",".15%"
"Putnam County","154",".32%","93.90%","10",".28%","6.10%","164",".31%"
"Quitman County","20",".04%","95.24%","1",".03%","4.76%","21",".04%"
"Rabun County","43",".09%","89.58%","5",".14%","10.42%","48",".09%"
"Randolph County","64",".13%","95.52%","3",".08%","4.48%","67",".13%"
"Richmond County","1,778","3.66%","94.57%","102","2.88%","5.43%","1,880","3.61%"
"Rockdale County","455",".94%","91.73%","41","1.16%","8.27%","496",".95%"
"Schley County","16",".03%","100.00%","","","","16",".03%"
"Screven County","120",".25%","97.56%","3",".08%","2.44%","123",".24%"
"Seminole County","54",".11%","85.71%","9",".25%","14.29%","63",".12%"
"Spalding County","547","1.13%","90.56%","57","1.61%","9.44%","604","1.16%"
"Stephens County","179",".37%","92.75%","14",".40%","7.25%","193",".37%"
"Stewart County","25",".05%","89.29%","3",".08%","10.71%","28",".05%"
"Sumter County","205",".42%","96.24%","8",".23%","3.76%","213",".41%"
"Talbot County","63",".13%","98.44%","1",".03%","1.56%","64",".12%"
"Taliaferro County","20",".04%","86.96%","3",".08%","13.04%","23",".04%"
"Tattnall County","189",".39%","94.97%","10",".28%","5.03%","199",".38%"
"Taylor County","86",".18%","91.49%","8",".23%","8.51%","94",".18%"
"Telfair County","105",".22%","87.50%","15",".42%","12.50%","120",".23%"
"Terrell County","77",".16%","96.25%","3",".08%","3.75%","80",".15%"
"Thomas County","245",".50%","94.59%","14",".40%","5.41%","259",".50%"
"Tift County","278",".57%","94.88%","15",".42%","5.12%","293",".56%"
"Toombs County","353",".73%","92.41%","29",".82%","7.59%","382",".73%"
"Towns County","43",".09%","79.63%","11",".31%","20.37%","54",".10%"
"Treutlen County","67",".14%","95.71%","3",".08%","4.29%","70",".13%"
"Troup County","647","1.33%","92.69%","51","1.44%","7.31%","698","1.34%"
"Turner County","66",".14%","92.96%","5",".14%","7.04%","71",".14%"
"Twiggs County","59",".12%","93.65%","4",".11%","6.35%","63",".12%"
"Union County","82",".17%","89.13%","10",".28%","10.87%","92",".18%"
"Upson County","177",".36%","93.16%","13",".37%","6.84%","190",".36%"
"Walker County","431",".89%","92.49%","35",".99%","7.51%","466",".89%"
"Walton County","420",".87%","90.32%","45","1.27%","9.68%","465",".89%"
"Ware County","285",".59%","92.83%","22",".62%","7.17%","307",".59%"
"Warren County","36",".07%","94.74%","2",".06%","5.26%","38",".07%"
"Washington County","140",".29%","89.74%","16",".45%","10.26%","156",".30%"
"Wayne County","136",".28%","90.07%","15",".42%","9.93%","151",".29%"
"Webster County","6",".01%","100.00%","","","","6",".01%"
